beta,loss
11.299999999999997,3526.22472472308
11.399999999999997,3526.2247247230803
11.499999999999998,3526.22472472308
11.599999999999998,3526.22472472308
11.699999999999998,3526.22472472308
11.799999999999997,3526.22472472308
11.899999999999997,3526.22472472308
11.999999999999998,3526.2247247230807
12.099999999999998,3526.22472472308
12.199999999999998,3526.22472472308
12.299999999999997,3526.2247247230803
12.399999999999997,3526.22472472308
12.499999999999996,3526.22472472308
12.599999999999998,3526.22472472308
12.699999999999998,3526.2247247230803
12.799999999999997,3526.2247247230807
12.899999999999997,3526.22472472308
12.999999999999996,3526.22472472308
13.099999999999998,3526.22472472308
13.199999999999998,3526.22472472308
13.299999999999997,3526.22472472308
13.399999999999997,3526.22472472308
13.499999999999996,3526.22472472308
13.599999999999998,3526.2247247230803
13.699999999999998,3526.22472472308
13.799999999999997,3526.22472472308
13.899999999999997,3526.22472472308
13.999999999999996,3526.22472472308
14.099999999999998,3526.22472472308
14.199999999999998,3526.22472472308
14.299999999999997,3526.22472472308
14.399999999999997,3526.22472472308
14.499999999999996,3526.2247247230803
14.599999999999996,3526.22472472308
14.699999999999998,3526.22472472308
14.799999999999997,3526.2247247230803
14.899999999999997,3526.22472472308
14.999999999999996,3526.2247247230803
15.099999999999996,3526.2247247230803
15.199999999999998,3526.22472472308
15.299999999999997,3526.2247247230803
15.399999999999997,3526.22472472308
15.499999999999996,3526.2247247230803
15.599999999999996,3526.2247247230807
15.699999999999996,3526.22472472308
15.799999999999997,3526.22472472308
15.899999999999997,3526.22472472308
15.999999999999996,3526.22472472308
16.099999999999994,3526.22472472308
16.199999999999996,3526.22472472308
16.299999999999997,3526.22472472308
16.4,3526.22472472308
16.499999999999996,3526.22472472308
16.599999999999998,3526.22472472308
16.699999999999996,3526.22472472308
16.799999999999997,3526.22472472308
16.899999999999995,3526.2247247230803
16.999999999999996,3526.22472472308
17.099999999999998,3526.22472472308
17.199999999999996,3526.2247247230807
17.299999999999997,3526.22472472308
17.399999999999995,3526.22472472308
17.499999999999996,3526.22472472308
17.599999999999998,3526.22472472308
17.699999999999996,3526.2247247230807
17.799999999999997,3526.22472472308
17.899999999999995,3526.22472472308
17.999999999999996,3526.22472472308
18.099999999999994,3526.2247247230803
18.199999999999996,3526.2247247230807
18.299999999999997,3526.2247247230803
18.399999999999995,3526.22472472308
18.499999999999996,3526.2247247230803
