feature,theta,kernel,kernel_label,param,param_value,n_params,weights,acc,acc_std,mae_ord,mae_ord_std,acc1,acc1_std,rmse,r2
eig,1.0,K4_pow,幂函数核,q,2.0,1,off,0.36943473074418376,0.00873380911444445,0.8621419043545139,0.01654645966618831,0.8049984445624834,0.006895134613231472,58.44512748754037,0.6453787312230297
eig,1.0,K5_plus,正指数核,beta_plus,0.01,1,off,0.37375512266863664,0.009200520226223639,0.8528630355607607,0.016922547427103383,0.8093186315862173,0.0058585937849352215,58.125975722840465,0.6492426454558052
eig,1.0,K5_plus,正指数核,beta_plus,0.0199526231496888,1,off,0.3740495770547836,0.008141681639366505,0.8539923639528529,0.015411630509049926,0.8083367593938844,0.005827217761937212,58.22790431968008,0.648011618533335
eig,1.0,K5_plus,正指数核,beta_plus,0.039810717055349734,1,off,0.3735095551834398,0.008625561046364789,0.8549250961315827,0.01609880764042602,0.8080422326898367,0.006298359372918281,58.271216987416366,0.6474843936273376
eig,1.0,K5_plus,正指数核,beta_plus,0.07943282347242814,1,off,0.3742458960495262,0.0077025041641743215,0.8556614852096033,0.016233217096921982,0.8072076841144451,0.006714727509495861,58.34954061058894,0.6465347425523855
eig,1.0,K5_plus,正指数核,beta_plus,0.15848931924611134,1,off,0.3736077146808111,0.007927340882904211,0.8554160503072247,0.015945179743273363,0.807158544100842,0.006528437983480311,58.30633697875078,0.6470574198867525
eig,1.0,K5_plus,正指数核,beta_plus,0.31622776601683794,1,off,0.3722822963006622,0.009911578260611703,0.8568397246086125,0.0161525663063814,0.8074039548972538,0.00608884719864145,58.26378047886327,0.64758485313136
eig,1.0,K5_plus,正指数核,beta_plus,0.630957344480193,1,off,0.370858308621704,0.0070894586971071,0.8593927393550762,0.015173785563420816,0.8064711624536066,0.005794769746980684,58.33845723053736,0.6466746486904532
eig,1.0,K5_plus,正指数核,beta_plus,1.2589254117941675,1,off,0.3714476874603532,0.009604705928049483,0.8590980439092599,0.016300756530341975,0.8072075876905773,0.006124080580837986,58.340429595752894,0.6466617244518615
eig,1.0,K5_plus,正指数核,beta_plus,2.5118864315095797,1,off,0.3706131027260112,0.009898199037628522,0.8606199138669695,0.01747939906248177,0.8055384182218933,0.006110772300888172,58.3695216979793,0.6462901023907677
eig,1.0,K5_plus,正指数核,beta_plus,5.01187233627272,1,off,0.37017124035203874,0.009582835856900333,0.8605708461712673,0.017306303393766074,0.8059802203309484,0.005698264524214847,58.34871317066792,0.6465252623387452
eig,1.0,K5_plus,正指数核,beta_plus,10.0,1,off,0.37012216060335307,0.00960906086685946,0.8618963971342344,0.016790545129817414,0.8044583021613049,0.005883249757613135,58.42859641578535,0.6455852384335679
