feature,kernel,param,inner_oof_mae
lam2,K3_eesm,158.48931924611142,0.7491776407706283
lam2,K3_eesm,316.22776601683796,0.750539994001732
lam2,K3_eesm,630.957344480193,0.7513623163256377
lam2,K3_eesm,1258.9254117941662,0.7512763988941615
lam2,K3_eesm,2511.886431509577,0.7515095985092
lam2,K3_eesm,5011.872336272725,0.7515096022750638
lam2,K3_eesm,10000.0,0.7514973293246465
lam2,K4_pow,-2.0,0.7974617798707948
lam2,K4_pow,-1.0,0.7625558059603985
lam2,K4_pow,-0.5,0.7530560979654845
lam2,K4_pow,1.0,0.7515218767318267
lam2,K4_pow,2.0,0.744918710062072
lam2,K5_plus,0.01,0.764053172190511
lam2,K5_plus,0.0199526231496888,0.763427223851837
lam2,K5_plus,0.039810717055349734,0.7598310889537723
lam2,K5_plus,0.07943282347242814,0.7557808149721108
lam2,K5_plus,0.15848931924611134,0.7544798114296379
lam2,K5_plus,0.31622776601683794,0.7484657584306771
lam2,K5_plus,0.630957344480193,0.7403038231200846
lam2,K5_plus,1.2589254117941675,0.743151322352978
lam2,K5_plus,2.5118864315095797,0.7506627415820515
lam2,K5_plus,5.01187233627272,0.7491408113749576
lam2,K5_plus,10.0,0.7519392150403181
lam2,K5_plus,19.952623149688787,0.7538661488453183
lam2,K5_plus,39.81071705534969,0.7529947189031153
lam2,K5_plus,79.43282347242814,0.7524178668851469
lam2,K5_plus,158.48931924611142,0.7523687750834778
lam2,K5_plus,316.22776601683796,0.75245468874909
lam2,K5_plus,630.957344480193,0.7523687660454045
lam2,K5_plus,1258.9254117941662,0.7520005489123206
lam2,K5_plus,2511.886431509577,0.7516323385577917
lam2,K5_plus,5011.872336272725,0.751558697089424
lam2,K5_plus,10000.0,0.7515832437434313
geo,K3_eesm,0.01,0.7487111978565305
geo,K3_eesm,0.0199526231496888,0.7452009939470516
geo,K3_eesm,0.039810717055349734,0.7362167302871713
geo,K3_eesm,0.07943282347242814,0.7209484207699143
geo,K3_eesm,0.15848931924611134,0.7142838901012459
geo,K3_eesm,0.31622776601683794,0.7089203674940873
geo,K3_eesm,0.630957344480193,0.7106632236126295
geo,K3_eesm,1.2589254117941675,0.7090676428990946
geo,K3_eesm,2.5118864315095797,0.7122219410377185
geo,K3_eesm,5.01187233627272,0.7126024107855546
geo,K3_eesm,10.0,0.7126760658110323
geo,K3_eesm,19.952623149688787,0.7130688205600503
geo,K3_eesm,39.81071705534969,0.7127987975747233
geo,K3_eesm,79.43282347242814,0.7139770655876412
geo,K3_eesm,158.48931924611142,0.714075250697325
geo,K3_eesm,316.22776601683796,0.7143820895212125
geo,K3_eesm,630.957344480193,0.7143943639779755
geo,K3_eesm,1258.9254117941662,0.7143575428672053
geo,K3_eesm,2511.886431509577,0.7143943647311481
geo,K3_eesm,5011.872336272725,0.7143943647311481
geo,K3_eesm,10000.0,0.7143943647311481
geo,K4_pow,-2.0,0.7159653972843303
geo,K4_pow,-1.0,0.7146766546415101
geo,K4_pow,-0.5,0.7140629875381539
geo,K4_pow,1.0,0.7143575458798963
geo,K4_pow,2.0,0.7142225306213691
